1403715887.634057999 -0.00021 0.00012 0.00013 0.82778 -0.03135 0.55825 0.04631
1403715887.734057903 -0.00080 0.00049 0.00054 0.82785 -0.03125 0.55817 0.04620
1403715887.834058046 -0.00088 0.00078 0.00054 0.82785 -0.03114 0.55819 0.04610
1403715887.934057951 -0.00099 0.00087 0.00051 0.82783 -0.03108 0.55822 0.04607
1403715888.034058094 -0.00087 0.00092 0.00039 0.82779 -0.03098 0.55829 0.04608
1403715888.134057999 -0.00079 0.00063 0.00031 0.82777 -0.03092 0.55832 0.04603
1403715888.234057903 -0.00081 0.00081 0.00032 0.82776 -0.03092 0.55834 0.04604
1403715888.334058046 -0.00053 0.00049 0.00012 0.82776 -0.03079 0.55834 0.04599
1403715888.434057951 -0.00038 0.00032 0.00004 0.82773 -0.03075 0.55839 0.04597
1403715888.534058094 -0.00033 0.00023 0.00004 0.82772 -0.03073 0.55842 0.04591
1403715888.634057999 -0.00024 0.00012 0.00002 0.82774 -0.03080 0.55838 0.04586
1403715888.734057903 -0.00028 0.00016 0.00006 0.82773 -0.03079 0.55840 0.04586
1403715888.834058046 -0.00032 0.00019 0.00006 0.82774 -0.03077 0.55839 0.04586
1403715888.934057951 -0.00024 0.00017 0.00001 0.82774 -0.03078 0.55839 0.04584
1403715889.034058094 -0.00021 0.00016 0.00003 0.82772 -0.03080 0.55840 0.04595
1403715889.134057999 -0.00019 0.00014 0.00002 0.82774 -0.03083 0.55838 0.04593
1403715889.234057903 -0.00016 0.00012 0.00003 0.82773 -0.03078 0.55839 0.04597
1403715889.334058046 -0.00012 0.00007 0.00004 0.82774 -0.03080 0.55837 0.04596
1403715889.434057951 -0.00016 0.00005 0.00008 0.82774 -0.03085 0.55837 0.04600
1403715889.534058094 -0.00022 0.00009 0.00004 0.82772 -0.03096 0.55839 0.04601
1403715889.634057999 -0.00017 0.00009 0.00005 0.82770 -0.03085 0.55843 0.04602
1403715889.734057903 -0.00021 0.00013 0.00005 0.82768 -0.03082 0.55847 0.04590
1403715889.834058046 -0.00034 0.00023 0.00005 0.82758 -0.03095 0.55860 0.04613
1403715889.934057951 -0.00031 0.00025 -0.00004 0.82749 -0.03114 0.55871 0.04619
1403715890.034058094 -0.00047 0.00043 -0.00005 0.82756 -0.03113 0.55862 0.04609
1403715890.134057999 -0.00064 0.00073 0.00004 0.82757 -0.03125 0.55860 0.04600
1403715890.234057903 -0.00070 0.00056 0.00007 0.82752 -0.03111 0.55868 0.04603
1403715890.334058046 -0.00028 0.00075 -0.00053 0.82768 -0.03104 0.55845 0.04598
1403715890.434057951 0.00053 0.00135 -0.00090 0.82781 -0.03112 0.55827 0.04584
1403715890.534058094 0.00082 0.00206 -0.00149 0.82778 -0.03123 0.55830 0.04591
1403715890.634057999 0.00079 0.00227 -0.00075 0.82787 -0.03108 0.55813 0.04638
1403715890.734057903 0.00128 0.00279 -0.00095 0.82783 -0.03108 0.55818 0.04648
1403715890.834058046 0.00133 0.00280 -0.00040 0.82777 -0.03109 0.55827 0.04652
1403715890.934057951 0.00165 0.00257 0.00009 0.82779 -0.03119 0.55825 0.04647
1403715891.034058094 0.00202 0.00307 0.00000 0.82777 -0.03127 0.55828 0.04642
1403715891.134057999 0.00188 0.00314 -0.00042 0.82788 -0.03116 0.55813 0.04621
1403715891.234057903 0.00176 0.00288 -0.00008 0.82795 -0.03096 0.55805 0.04612
1403715891.334058046 0.00186 0.00303 -0.00021 0.82808 -0.03086 0.55787 0.04592
1403715891.434057951 0.00168 0.00280 -0.00042 0.82821 -0.03069 0.55770 0.04575
1403715891.534058094 0.00147 0.00303 -0.00047 0.82827 -0.03062 0.55764 0.04555
1403715891.634057999 0.00084 0.00235 0.00055 0.82829 -0.03050 0.55761 0.04555
1403715891.734057903 0.00195 0.00343 0.00118 0.82839 -0.03051 0.55748 0.04541
1403715891.834058046 0.00053 0.00399 -0.00079 0.82808 -0.03052 0.55793 0.04534
1403715891.934057951 0.00099 0.00376 -0.00103 0.82840 -0.03032 0.55749 0.04514
1403715892.034058094 0.00072 0.00335 -0.00110 0.82835 -0.03021 0.55758 0.04508
1403715892.134057999 0.00076 0.00327 -0.00095 0.82845 -0.03011 0.55744 0.04504
1403715892.234057903 0.00056 0.00319 -0.00075 0.82826 -0.02989 0.55773 0.04500
