1403715524.962142944 -0.00003 0.00003 -0.00003 0.81368 -0.02770 0.57933 0.03915
1403715525.062143087 -0.00049 0.00042 -0.00046 0.81352 -0.02744 0.57957 0.03909
1403715525.162142992 -0.00055 0.00030 -0.00047 0.81357 -0.02782 0.57949 0.03904
1403715525.262142897 -0.00038 -0.00011 -0.00044 0.81359 -0.02803 0.57946 0.03894
1403715525.362143040 -0.00010 -0.00022 -0.00058 0.81371 -0.02799 0.57929 0.03895
1403715525.462142944 -0.00011 0.00003 -0.00072 0.81380 -0.02797 0.57916 0.03893
1403715525.562143087 -0.00005 0.00008 -0.00087 0.81383 -0.02805 0.57912 0.03903
1403715525.662142992 0.00024 -0.00053 -0.00085 0.81391 -0.02818 0.57898 0.03933
1403715525.762142897 0.00022 -0.00043 -0.00081 0.81386 -0.02777 0.57907 0.03923
1403715525.862143040 -0.00000 0.00006 -0.00059 0.81386 -0.02754 0.57909 0.03916
1403715525.962142944 -0.00031 0.00011 -0.00072 0.81372 -0.02743 0.57929 0.03912
1403715526.062143087 -0.00031 -0.00010 -0.00057 0.81368 -0.02728 0.57937 0.03891
1403715526.162142992 -0.00044 -0.00013 -0.00083 0.81369 -0.02735 0.57935 0.03892
1403715526.262142897 -0.00028 -0.00005 -0.00063 0.81373 -0.02738 0.57929 0.03890
1403715526.362143040 -0.00016 0.00004 -0.00036 0.81376 -0.02736 0.57926 0.03887
1403715526.462142944 -0.00025 0.00009 -0.00036 0.81374 -0.02727 0.57930 0.03871
1403715526.562143087 -0.00036 -0.00008 -0.00058 0.81370 -0.02720 0.57936 0.03851
1403715526.662142992 -0.00030 -0.00001 -0.00066 0.81373 -0.02711 0.57934 0.03842
1403715526.762142897 -0.00031 -0.00008 -0.00044 0.81373 -0.02702 0.57935 0.03826
1403715526.862143040 -0.00031 -0.00003 -0.00044 0.81375 -0.02690 0.57933 0.03812
1403715526.962142944 0.00010 -0.00002 0.00056 0.81387 -0.02712 0.57917 0.03811
1403715527.062143087 -0.00004 0.00065 0.00120 0.81386 -0.02701 0.57919 0.03812
1403715527.162142992 -0.00018 0.00033 0.00065 0.81379 -0.02687 0.57929 0.03794
1403715527.262142897 -0.00025 -0.00023 -0.00013 0.81376 -0.02670 0.57936 0.03776
1403715527.362143040 0.00003 0.00034 0.00118 0.81382 -0.02673 0.57927 0.03781
1403715527.462142944 0.00026 0.00044 0.00209 0.81394 -0.02663 0.57912 0.03755
